Secuencia	Es_conotoxina	Score
FASTA_561	True	0.188465
FASTA_562	True	0.186687
FASTA_563	False	0.054557
FASTA_564	False	0.037424
FASTA_565	False	0.063466
FASTA_566	False	0.059349
FASTA_567	False	0.099673
FASTA_568	False	0.056073
FASTA_569	True	0.208512
FASTA_570	False	0.125467
FASTA_571	False	0.156024
FASTA_572	False	0.086351
FASTA_573	False	0.104332
FASTA_574	False	0.103527
FASTA_575	False	0.103254
FASTA_576	False	0.168828
FASTA_577	False	0.114826
FASTA_578	False	0.114490
FASTA_579	False	0.080416
FASTA_580	False	0.109181
FASTA_581	False	0.111238
FASTA_582	False	0.078907
FASTA_583	False	0.107742
FASTA_584	False	0.147671
FASTA_585	False	0.094904
FASTA_586	False	0.166906
FASTA_587	True	0.224639
FASTA_588	False	0.043256
FASTA_589	False	0.073337
FASTA_590	True	0.180645
FASTA_591	False	0.096145
FASTA_592	True	0.235416
FASTA_593	False	0.062434
FASTA_594	False	0.154543
FASTA_595	False	0.135264
FASTA_596	False	0.118491
FASTA_597	True	0.185453
FASTA_598	False	0.163766
FASTA_599	False	0.154822
FASTA_600	False	0.143780
FASTA_601	False	0.077772
FASTA_602	True	0.246536
FASTA_603	True	0.179656
FASTA_604	False	0.153992
FASTA_605	True	0.175295
FASTA_606	False	0.045076
FASTA_607	False	0.103450
FASTA_608	False	0.057143
FASTA_609	False	0.076378
FASTA_610	False	0.098075
FASTA_611	False	0.083976
FASTA_612	True	0.196546
FASTA_613	False	0.076344
FASTA_614	False	0.058977
FASTA_615	False	0.156225
FASTA_616	False	0.066584
FASTA_617	False	0.046032
FASTA_618	False	0.129302
FASTA_619	False	0.080432
FASTA_620	True	0.184987
FASTA_621	False	0.159681
FASTA_622	False	0.061700
FASTA_623	False	0.118514
FASTA_624	False	0.034733
FASTA_625	False	0.151179
FASTA_626	False	0.127079
FASTA_627	False	0.054244
FASTA_628	False	0.095041
FASTA_629	True	0.207319
FASTA_630	False	0.120887
FASTA_631	False	0.076344
FASTA_632	False	0.144657
FASTA_633	False	0.088641
FASTA_634	False	0.074686
FASTA_635	False	0.078022
FASTA_636	True	0.185493
FASTA_637	True	0.185493
FASTA_638	False	0.051256
FASTA_639	False	0.102002
FASTA_640	False	0.151520
FASTA_641	False	0.087958
FASTA_642	False	0.163365
FASTA_643	False	0.068438
FASTA_644	True	0.194450
FASTA_645	False	0.093624
FASTA_646	False	0.035147
FASTA_647	False	0.126949
FASTA_648	False	0.047374
FASTA_649	False	0.154512
FASTA_650	False	0.037462
FASTA_651	False	0.060160
FASTA_652	False	0.109021
FASTA_653	True	0.200428
FASTA_654	False	0.136511
FASTA_655	False	0.152414
FASTA_656	True	0.237870
FASTA_657	False	0.136912
FASTA_658	False	0.100893
FASTA_659	False	0.045573
FASTA_660	True	0.192157
FASTA_661	False	0.142662
FASTA_662	False	0.108942
FASTA_663	False	0.114474
FASTA_664	True	0.199778
FASTA_665	False	0.123278
FASTA_666	False	0.109506
FASTA_667	True	0.197113
FASTA_668	True	0.209601
FASTA_669	False	0.061318
FASTA_670	False	0.119930
FASTA_671	False	0.120234
FASTA_672	True	0.194809
FASTA_673	False	0.168549
FASTA_674	False	0.152750
FASTA_675	False	0.106881
FASTA_676	False	0.099334
FASTA_677	False	0.035035
FASTA_678	False	0.059517
FASTA_679	False	0.114596
FASTA_680	True	0.182977
FASTA_681	False	0.148538
FASTA_682	False	0.079316
FASTA_683	False	0.037565
FASTA_684	True	0.178208
FASTA_685	False	0.147029
FASTA_686	False	0.155866
FASTA_687	True	0.213904
FASTA_688	False	0.041289
FASTA_689	False	0.146090
FASTA_690	True	0.186282
FASTA_691	False	0.096481
FASTA_692	False	0.112562
FASTA_693	False	0.158377
FASTA_694	False	0.100891
FASTA_695	False	0.158401
FASTA_696	True	0.202992
FASTA_697	False	0.036729
FASTA_698	False	0.044273
FASTA_699	True	0.226928
FASTA_700	True	0.185872
FASTA_701	False	0.110548
FASTA_702	False	0.093872
FASTA_703	False	0.043496
FASTA_704	False	0.057123
FASTA_705	False	0.073917
FASTA_706	False	0.168821
FASTA_707	False	0.119414
FASTA_708	True	0.210668
FASTA_709	False	0.039954
FASTA_710	False	0.151918
FASTA_711	False	0.111403
